Date,Rate,"ISO Code From","ISO Code To"
"3/13/2024 Wednesday",0.91320,USD,EUR
"3/14/2024 Thursday",0.91866,USD,EUR
"3/15/2024 Friday",0.91825,USD,EUR
"3/18/2024 Monday",0.91963,USD,EUR
"3/19/2024 Tuesday",0.92031,USD,EUR
"3/20/2024 Wednesday",0.91483,USD,EUR
"3/21/2024 Thursday",0.92070,USD,EUR
"3/22/2024 Friday",0.92095,USD,EUR
"3/25/2024 Monday",0.92272,USD,EUR
"3/26/2024 Tuesday",0.92312,USD,EUR
"3/27/2024 Wednesday",0.92448,USD,EUR
"3/28/2024 Thursday",0.92683,USD,EUR
"3/29/2024 Friday",0.92592,USD,EUR
"4/1/2024 Monday",0.93088,USD,EUR
"4/2/2024 Tuesday",0.92849,USD,EUR
"4/3/2024 Wednesday",0.92269,USD,EUR
"4/4/2024 Thursday",0.92266,USD,EUR
"4/5/2024 Friday",0.92220,USD,EUR
"4/8/2024 Monday",0.92073,USD,EUR
"4/9/2024 Tuesday",0.92098,USD,EUR
"4/10/2024 Wednesday",0.93087,USD,EUR
"4/11/2024 Thursday",0.93212,USD,EUR
"4/12/2024 Friday",0.93825,USD,EUR
"4/15/2024 Monday",0.94100,USD,EUR
"4/16/2024 Tuesday",0.94194,USD,EUR
"4/17/2024 Wednesday",0.93701,USD,EUR
"4/18/2024 Thursday",0.93957,USD,EUR
"4/19/2024 Friday",0.93787,USD,EUR
"4/22/2024 Monday",0.93864,USD,EUR
"4/23/2024 Tuesday",0.93444,USD,EUR
"4/24/2024 Wednesday",0.93487,USD,EUR
"4/25/2024 Thursday",0.93207,USD,EUR
"4/26/2024 Friday",0.93506,USD,EUR
"4/29/2024 Monday",0.93292,USD,EUR
"4/30/2024 Tuesday",0.93748,USD,EUR
"5/1/2024 Wednesday",0.93302,USD,EUR
"5/2/2024 Thursday",0.93205,USD,EUR
"5/3/2024 Friday",0.92865,USD,EUR
"5/6/2024 Monday",0.92846,USD,EUR
"5/7/2024 Tuesday",0.92996,USD,EUR
"5/8/2024 Wednesday",0.93024,USD,EUR
"5/9/2024 Thursday",0.92733,USD,EUR
"5/10/2024 Friday",0.92775,USD,EUR
"5/13/2024 Monday",0.92682,USD,EUR
"5/14/2024 Tuesday",0.92444,USD,EUR
"5/15/2024 Wednesday",0.91841,USD,EUR
"5/16/2024 Thursday",0.92014,USD,EUR
"5/17/2024 Friday",0.91915,USD,EUR
"5/20/2024 Monday",0.92094,USD,EUR
"5/21/2024 Tuesday",0.92114,USD,EUR
"5/22/2024 Wednesday",0.92380,USD,EUR
"5/23/2024 Thursday",0.92476,USD,EUR
"5/24/2024 Friday",0.92136,USD,EUR
"5/27/2024 Monday",0.92088,USD,EUR
"5/28/2024 Tuesday",0.92107,USD,EUR
"5/29/2024 Wednesday",0.92573,USD,EUR
"5/30/2024 Thursday",0.92306,USD,EUR
"5/31/2024 Friday",0.92102,USD,EUR
"6/3/2024 Monday",0.91674,USD,EUR
"6/4/2024 Tuesday",0.91912,USD,EUR
"6/5/2024 Wednesday",0.91990,USD,EUR
"6/6/2024 Thursday",0.91807,USD,EUR
"6/7/2024 Friday",0.92530,USD,EUR
"6/10/2024 Monday",0.92887,USD,EUR
"6/11/2024 Tuesday",0.93088,USD,EUR
"6/12/2024 Wednesday",0.92490,USD,EUR
"6/13/2024 Thursday",0.93115,USD,EUR
"6/14/2024 Friday",0.93261,USD,EUR
"6/17/2024 Monday",0.93149,USD,EUR
"6/18/2024 Tuesday",0.93105,USD,EUR
"6/19/2024 Wednesday",0.93070,USD,EUR
"6/20/2024 Thursday",0.93430,USD,EUR
"6/21/2024 Friday",0.93528,USD,EUR
"6/24/2024 Monday",0.93158,USD,EUR
"6/25/2024 Tuesday",0.93325,USD,EUR
"6/26/2024 Wednesday",0.93633,USD,EUR
"6/27/2024 Thursday",0.93415,USD,EUR
"6/28/2024 Friday",0.93282,USD,EUR
"7/1/2024 Monday",0.93123,USD,EUR
"7/2/2024 Tuesday",0.93045,USD,EUR
"7/3/2024 Wednesday",0.92691,USD,EUR
"7/4/2024 Thursday",0.92495,USD,EUR
"7/5/2024 Friday",0.92189,USD,EUR
"7/8/2024 Monday",0.92379,USD,EUR
"7/9/2024 Tuesday",0.92468,USD,EUR
"7/10/2024 Wednesday",0.92314,USD,EUR
"7/11/2024 Thursday",0.92022,USD,EUR
"7/12/2024 Friday",0.91563,USD,EUR
"7/15/2024 Monday",0.91778,USD,EUR
"7/16/2024 Tuesday",0.91740,USD,EUR
"7/17/2024 Wednesday",0.91417,USD,EUR
"7/18/2024 Thursday",0.91745,USD,EUR
"7/19/2024 Friday",0.91805,USD,EUR
"7/22/2024 Monday",0.91811,USD,EUR
"7/23/2024 Tuesday",0.92165,USD,EUR
"7/24/2024 Wednesday",0.92235,USD,EUR
"7/25/2024 Thursday",0.92191,USD,EUR
"7/26/2024 Friday",0.91975,USD,EUR
"7/29/2024 Monday",0.92398,USD,EUR
"7/30/2024 Tuesday",0.92458,USD,EUR
"7/31/2024 Wednesday",0.92363,USD,EUR
"8/1/2024 Thursday",0.92668,USD,EUR
"8/2/2024 Friday",0.91571,USD,EUR
"8/5/2024 Monday",0.91253,USD,EUR
"8/6/2024 Tuesday",0.91486,USD,EUR
"8/7/2024 Wednesday",0.91519,USD,EUR
