Code;Libellé;nb_entreprise_ensemble;nb_entreprise_industrie;nb_entreprise_construction;nb_entreprise_commerce;nb_entreprise_info_communication;nb_entreprise_autres_services;nb_entreprise_sciences_techno;nb_entreprise_immobilier;nb_entreprise_finance_assurance;nb_entreprise_santé_enseign_adminis
1001;L'Abergement-Clémenciat;49;3;7;14;0;5;10;4;2;4
1002;L'Abergement-de-Varey;20;3;3;4;1;4;2;0;0;3
1004;Ambérieu-en-Bugey;1280;54;147;364;22;101;172;77;89;254
1005;Ambérieux-en-Dombes;153;12;33;24;4;23;20;11;4;22
1006;Ambléon;6;0;2;0;0;1;2;1;0;0
1007;Ambronay;159;19;22;38;3;16;23;8;6;24
1008;Ambutrix;57;1;16;24;1;4;3;3;1;4
1009;Andert-et-Condon;25;4;1;3;1;2;6;4;2;2
1010;Anglefort;53;12;9;11;0;8;4;2;0;7
1011;Apremont;23;5;4;5;1;1;2;2;0;3
1012;Aranc;21;3;5;6;0;3;1;2;1;0
1013;Arandas;7;0;0;3;0;0;2;1;0;1
1014;Arbent;403;69;37;134;3;22;42;33;29;34
1015;Arboys en Bugey;34;8;5;4;0;4;5;2;2;4
1016;Arbigny;24;2;6;10;0;2;0;3;0;1
1017;Argis;24;6;5;4;0;2;4;3;0;0
1019;Armix;2;0;0;0;0;0;1;1;0;0
1021;Ars-sur-Formans;113;7;12;21;4;8;26;4;5;26
1022;Artemare;98;9;14;24;3;10;17;2;1;18
1023;Asnières-sur-Saône;2;0;1;1;0;0;0;0;0;0
1024;Attignat;219;17;26;53;3;29;26;15;7;43
1025;Bâgé-Dommartin;190;19;28;46;7;15;32;16;3;24
1026;Bâgé-le-Châtel;71;5;4;18;0;8;10;3;3;20
1027;Balan;166;16;38;50;4;20;18;5;3;12
1028;Baneins;36;1;10;11;1;2;3;4;0;4
1029;Beaupont;38;6;5;9;2;2;6;3;1;4
1030;Beauregard;74;5;9;17;2;9;10;9;2;11
1031;Bellignat;290;55;23;73;4;20;46;23;27;19
1032;Béligneux;254;33;40;57;7;12;43;16;16;30
1033;Valserhône;1045;73;185;293;29;98;139;48;44;136
1034;Belley;853;70;94;229;12;83;109;40;40;176
1035;Belleydoux;21;5;3;3;2;4;2;0;0;2
1036;Valromey-sur-Séran;80;9;13;20;1;10;13;5;2;7
1037;Bénonces;18;2;2;3;0;2;3;3;0;3
1038;Bény;42;4;9;6;1;7;11;2;1;1
1040;Béréziat;22;1;2;8;0;3;2;2;0;4
1041;Bettant;33;2;9;10;1;3;4;1;0;3
1042;Bey;14;0;2;1;0;1;8;1;1;0
1043;Beynost;670;37;77;207;19;68;127;40;40;55
1044;Billiat;35;3;8;8;0;7;6;1;1;1
1045;Birieux;18;1;3;3;0;3;3;2;0;3
1046;Biziat;44;5;11;7;1;5;8;1;0;6
1047;Blyes;141;31;15;28;11;9;25;8;2;12
1049;La Boisse;300;25;40;81;1;22;54;18;10;49
1050;Boissey;18;3;3;4;0;0;5;3;0;0
1051;Bolozon;8;0;2;4;0;0;1;1;0;0
1052;Bouligneux;27;2;3;5;0;1;5;6;1;4
1053;Bourg-en-Bresse;3928;166;301;1224;94;327;724;250;219;623
1054;Bourg-Saint-Christophe;81;2;19;9;3;11;25;1;4;7
1056;Boyeux-Saint-Jérôme;21;4;3;5;0;1;4;1;0;3
1057;Boz;41;8;9;8;1;1;9;2;1;2
1058;Brégnier-Cordon;77;15;10;17;0;10;9;5;2;9
1060;Brénod;36;3;6;10;3;1;5;4;0;4
1061;Brens;74;6;16;18;1;12;11;4;1;5
1062;Bressolles;66;7;10;12;0;5;17;5;2;8
1063;Brion;48;8;7;5;1;1;10;7;6;3
1064;Briord;73;8;17;17;0;8;11;4;3;5
1065;Buellas;100;5;10;21;4;10;18;4;4;24
1066;La Burbanche;8;2;2;0;0;2;1;1;0;0
1067;Ceignes;19;4;6;4;0;1;2;1;1;0
1068;Cerdon;65;3;16;26;0;8;3;4;1;4
1069;Certines;101;15;16;15;1;8;25;5;7;9
1071;Cessy;304;15;33;76;8;33;55;28;12;44
1072;Ceyzériat;303;23;37;60;6;28;51;17;12;69
1073;Ceyzérieu;62;5;17;9;3;8;13;1;1;5
1074;Chalamont;206;17;30;50;4;25;33;7;4;36
1075;Chaleins;135;15;31;21;2;8;24;11;8;15
1076;Chaley;5;1;0;2;0;0;1;0;0;1
1077;Challes-la-Montagne;8;1;4;0;0;1;0;2;0;0
1078;Challex;61;4;6;9;3;7;14;2;3;13
1079;Champagne-en-Valromey;68;9;7;18;2;4;8;1;2;17
1080;Champdor-Corcelles;25;4;4;3;0;3;7;2;0;2
1081;Champfromier;46;7;5;11;1;5;7;1;7;2
1082;Chanay;24;3;3;7;2;1;5;0;0;3
1083;Chaneins;95;12;22;22;2;8;12;3;6;8
1084;Chanoz-Châtenay;56;6;15;6;1;8;13;2;0;5
1085;La Chapelle-du-Châtelard;28;1;5;4;0;6;6;2;1;3
1087;Charix;16;0;1;3;1;4;4;1;0;2
1088;Charnoz-sur-Ain;80;5;14;16;5;7;20;2;4;7
1089;Château-Gaillard;231;27;46;58;5;13;53;7;8;14
1090;Châtenay;34;1;9;7;0;2;8;0;1;6
1092;Châtillon-la-Palud;118;9;22;23;5;14;17;5;4;19
1093;Châtillon-sur-Chalaronne;573;47;75;143;10;51;79;39;29;100
1094;Chavannes-sur-Reyssouze;39;2;7;11;1;6;6;4;0;2
1095;Nivigne et Suran;59;10;10;10;0;10;7;2;1;9
1096;Chaveyriat;86;11;19;17;0;9;20;4;1;5
1098;Chazey-Bons;96;14;16;21;2;6;13;5;8;11
1099;Chazey-sur-Ain;120;7;23;19;3;27;13;3;3;22
1100;Cheignieu-la-Balme;5;0;2;0;0;0;3;0;0;0
1101;Chevillard;3;0;1;0;0;0;0;0;1;1
