,latitude,longitude,population,surface,densité_population,indice_CNR,USD_to_EUR,EUR_to_USD,cours_baril_en_USD,tmoy,nb_entreprise_ensemble,nb_entreprise_industrie,nb_entreprise_construction,nb_entreprise_commerce,nb_entreprise_info_communication,nb_entreprise_autres_services,nb_entreprise_sciences_techno,nb_entreprise_immobilier,nb_entreprise_finance_assurance,nb_entreprise_santé_enseign_adminis,nb_exploit_agricole,prix
latitude,1.0,-0.30407891044518676,-0.18305980826162138,0.11247306732473993,-0.32868922747631574,-0.009883849108001275,0.010171790130600026,-0.009932230488065399,-0.006181339462901268,-0.3438392382233736,-0.07054663422819125,-0.12777900906979323,-0.16248812659684744,-0.013969371863623235,0.03269165077235676,-0.06267121092059709,-0.07830526383657775,-0.11743887106843708,-0.07415898033215186,-0.0988976748182292,-0.10414052245082742,0.04660688772055152
longitude,-0.30407891044518676,1.0,0.0005699153512809099,-0.18365677863450264,0.09502340293858079,0.00838846869314921,-0.006384892755678205,0.00677703461966982,0.0032698415558862085,0.22857681381883735,0.19396403839447945,0.16657803860791315,0.20423741491323325,0.1913188200732554,0.18080692481035546,0.1688513506782718,0.205145643394472,0.17187302749574546,0.1509307228389879,0.21458674066645533,-0.17751175662073185,-0.11499144284116787
population,-0.18305980826162138,0.0005699153512809099,1.0,0.40448818329561786,-0.016867072029387472,-0.21556600313420937,0.15291881670474355,-0.18172573998038907,-0.05544596867888506,0.34960240727261493,0.7250509527823238,0.826476678690488,0.7866842513213089,0.7062067146392058,0.6208414654752773,0.7348623097568054,0.6914414696767146,0.7745535586023363,0.7303285526317298,0.7118931379187217,0.7856073741369698,-0.3563477967964022
surface,0.11247306732473993,-0.18365677863450264,0.40448818329561786,1.0,-0.3031900699327513,-0.2417905011778668,0.17523545377351546,-0.20376368441922935,-0.07737862972104279,0.17441107763658456,-0.05902109283241007,0.0836630702325604,-0.0006342353879383035,-0.058697225698695156,-0.15254587759645843,-0.018330692068586018,-0.11671815276114571,0.012999964658041246,-0.05379562091675587,-0.07415810344167818,0.6755017933937366,-0.08360585076714488
densité_population,-0.32868922747631574,0.09502340293858079,-0.016867072029387472,-0.3031900699327513,1.0,0.15736407111564324,-0.12084199199983965,0.13280194522546773,0.05796162661228278,-0.10761336547079657,-0.061209852501985546,-0.050571185078404225,-0.06599291579716285,-0.057077310116633174,-0.07063389923975509,-0.08155209115014658,-0.06070894825399414,-0.0425572315962405,-0.07604227122678156,-0.05502157565316015,-0.2303982416277013,0.09915944663665918
indice_CNR,-0.009883849108001275,0.00838846869314921,-0.21556600313420937,-0.2417905011778668,0.15736407111564324,1.0,-0.7938624259198136,0.8190316457225252,0.7653392209593316,0.01868247078411333,-0.13052671776800057,-0.16204062978067,-0.15078552059412198,-0.129298614684929,-0.10751797845130448,-0.13772212350678203,-0.11842565329856264,-0.14054573677077006,-0.1298621529807542,-0.1223799368773587,-0.2299884437439724,0.6165457300213705
USD_to_EUR,0.010171790130600026,-0.006384892755678205,0.15291881670474355,0.17523545377351546,-0.12084199199983965,-0.7938624259198136,1.0,-0.9761129392118802,-0.6749677861630913,0.0004994332838301046,0.093256420575604,0.11524185957662596,0.10695790386550849,0.09237699355313536,0.07780195567421201,0.09867477036511708,0.08476880144782374,0.10128256229246008,0.09227102502726697,0.08740165388846365,0.16769937284650874,-0.6037481812557415
EUR_to_USD,-0.009932230488065399,0.00677703461966982,-0.18172573998038907,-0.20376368441922935,0.13280194522546773,0.8190316457225252,-0.9761129392118802,1.0,0.6517520847324471,0.01991860201339636,-0.11276849783623087,-0.13781030562927768,-0.12860441538616696,-0.11157330342875953,-0.0952329382365396,-0.11871595584361232,-0.10323656800081457,-0.1219438461669308,-0.11186073296451673,-0.10585719731831825,-0.1970667399725721,0.5991806990301608
cours_baril_en_USD,-0.006181339462901268,0.0032698415558862085,-0.05544596867888506,-0.07737862972104279,0.05796162661228278,0.7653392209593316,-0.6749677861630913,0.6517520847324471,1.0,0.25347495951742766,-0.034274760337605785,-0.045576912334282696,-0.04031750349141199,-0.03525115693984855,-0.026804629845932657,-0.03655427188670389,-0.03000314417101629,-0.03610415865482112,-0.03315476171135261,-0.03106039776681893,-0.07136881266604636,0.6118307002978839
tmoy,-0.3438392382233736,0.22857681381883735,0.34960240727261493,0.17441107763658456,-0.10761336547079657,0.01868247078411333,0.0004994332838301046,0.01991860201339636,0.25347495951742766,1.0,0.2974800642491033,0.3352864457456792,0.35054082363512934,0.2718500853055295,0.23258530866582314,0.3009474143146689,0.2915057226832275,0.315961407801443,0.2966158103801284,0.30491560402192264,0.3062818045921956,-0.07668627880015007
